"sku","is_in_stock"
"DUSG_301M_Natural_S",1
"DUSG_301M_Natural_M",1
"DUSG_301M_Natural_L",1
"DUSG_301M_Natural_XL",1
"DUSG_301M_Natural_XXL",1
"DUSG_301M_Natural_3XL",1
"DUSG_302M_Natural_S",1
"DUSG_302M_Natural_M",1
"DUSG_302M_Natural_L",1
"DUSG_302M_Natural_XL",1
"DUSG_302M_Natural_XXL",1
"DUSG_302M_Natural_3XL",1
"DUSG_303W_Natural_S",1
"DUSG_303W_Natural_M",1
"DUSG_303W_Natural_L",1
"DUSG_303W_Natural_XL",1
"DUSG_303W_Natural_XXL",1
"DUSG_303W_Natural_3XL",1
"DUSG_304W_Natural_S",1
"DUSG_304W_Natural_M",1
"DUSG_304W_Natural_L",1
"DUSG_304W_Natural_XL",1
"DUSG_304W_Natural_XXL",1
"DUSG_304W_Natural_3XL",1
"DUSG_262W_Aqua_S",1
"DUSG_262W_Aqua_M",1
"DUSG_262W_Aqua_L",1
"DUSG_262W_Aqual_XL",1
"DUSG_262W_Aqua_XXL",1
"DUSG_262W_Aqua_3XL",1
"DUSG_263W_Natural_S",1
"DUSG_263W_Natural_M",1
"DUSG_263W_Natural_L",1
"DUSG_263W_Natural_XL",1
"DUSG_263W_Natural_XXL",1
"DUSG_263W_Natural_3XL",1
"DUSG_265M_Aqua_S",1
"DUSG_265M_Aqua_M",1
"DUSG_265M_Aqua_L",1
"DUSG_265M_Aqua_XL",1
"DUSG_265M_Aqua_XXL",1
"DUSG_265M_Aqua_3XL",1
"DUSG_266M_Natural_S",1
"DUSG_266M_Natural_M",1
"DUSG_266M_Natural_L",1
"DUSG_266M_Natural_XL",1
"DUSG_266M_Natural_XXL",1
"DUSG_266M_Natural_3XL",1
"DUSG_301M",1
"DUSG_302M",1
"DUSG_303W",1
"DUSG_304W",1
"DUSG_262W",1
"DUSG_263W",1
"DUSG_265M",1
"DUSG_266M",1
